graph_type,n,edge,actual_weight,predicted_weight,edge_loss,Layers,sample_number
complete,4,"('A0', 'B1')",0.27,0.434846818447113,0.0271744735521354,2,1
complete,4,"('A0', 'B2')",0.3,0.4263124465942383,0.0159548341646223,2,1
complete,4,"('A0', 'B3')",0.3,0.4258479475975036,0.015837705914504,2,1
complete,4,"('A0', 'B1')",0.53,0.4737530350685119,0.003163721064004,2,2
complete,4,"('A0', 'B2')",0.64,0.469127744436264,0.0291973277214387,2,2
complete,4,"('A0', 'B3')",0.6,0.4769284427165985,0.0151466082121615,2,2
complete,4,"('A0', 'B1')",0.62,0.6299240589141846,9.848694533220632e-05,2,3
complete,4,"('A0', 'B2')",0.59,0.6082881093025208,0.0003344549418609,2,3
complete,4,"('A0', 'B3')",0.57,0.6178233623504639,0.0022870739865037,2,3
complete,4,"('A0', 'B1')",0.45,0.4435194432735443,4.199761548481021e-05,2,4
complete,4,"('A0', 'B2')",0.46,0.4335125684738159,0.0007015840288542,2,4
complete,4,"('A0', 'B3')",0.48,0.4414478540420532,0.0014862679579628,2,4
complete,4,"('A0', 'B1')",0.31,0.525969922542572,0.0466430074430445,2,5
complete,4,"('A0', 'B2')",0.32,0.5051171779632568,0.0342683695770801,2,5
complete,4,"('A0', 'B3')",0.31,0.5157836675643921,0.0423469178362522,2,5
complete,4,"('A0', 'B1')",0.53,0.5173982977867126,0.0001588028986723,2,6
complete,4,"('A0', 'B2')",0.57,0.4821944832801819,0.0077098087664342,2,6
complete,4,"('A0', 'B3')",0.55,0.4959159791469574,0.0029250813116323,2,6
complete,4,"('A0', 'B1')",0.76,0.545219361782074,0.0461307225532996,2,7
complete,4,"('A0', 'B2')",0.76,0.545228898525238,0.0461266260286825,2,7
complete,4,"('A0', 'B3')",0.76,0.5338254570960999,0.0511549238577881,2,7
complete,4,"('A0', 'B1')",0.43,0.578450620174408,0.0220375866301663,2,8
complete,4,"('A0', 'B2')",0.44,0.536679208278656,0.0093468693133877,2,8
complete,4,"('A0', 'B3')",0.44,0.5779024958610535,0.0190170983647078,2,8
complete,4,"('A0', 'B1')",0.38,0.4342138469219208,0.0029391411980734,2,9
complete,4,"('A0', 'B2')",0.41,0.4228523969650268,0.0001651841077466,2,9
complete,4,"('A0', 'B3')",0.42,0.4322887063026428,0.0001510123025926,2,9
complete,4,"('A0', 'B1')",0.53,0.3826454281806946,0.0217133698360508,2,10
complete,4,"('A0', 'B2')",0.52,0.375801533460617,0.0207931977523095,2,10
complete,4,"('A0', 'B3')",0.53,0.3828463852405548,0.0216541863367712,2,10
complete,4,"('A0', 'B1')",0.48,0.7797651886940002,0.0898591683527495,2,11
complete,4,"('A0', 'B2')",0.48,0.7761804461479187,0.0877228566803801,2,11
complete,4,"('A0', 'B3')",0.48,0.7600077390670776,0.0784043339374566,2,11
complete,4,"('A0', 'B1')",0.48,0.5733485221862793,0.0087139465943622,2,12
complete,4,"('A0', 'B2')",0.48,0.5478554964065552,0.00460436839258,2,12
complete,4,"('A0', 'B3')",0.5,0.5526671409606934,0.0027738277369735,2,12
complete,4,"('A0', 'B1')",0.45,0.5244766473770142,0.0055467710045201,2,13
complete,4,"('A0', 'B2')",0.4,0.4948941171169281,0.0090048934634012,2,13
complete,4,"('A0', 'B3')",0.4,0.4958361089229584,0.0091845597734931,2,13
complete,4,"('A0', 'B1')",0.48,0.5908510684967041,0.0122879593868609,2,14
complete,4,"('A0', 'B2')",0.48,0.5771057605743408,0.0094295287367212,2,14
complete,4,"('A0', 'B3')",0.48,0.5795708894729614,0.0099143620304367,2,14
complete,4,"('A0', 'B1')",0.48,0.4622185826301574,0.0003161788036805,2,15
complete,4,"('A0', 'B2')",0.48,0.4596137106418609,0.0004156007937937,2,15
complete,4,"('A0', 'B3')",0.47,0.4619204103946686,6.527976819057911e-05,2,15
complete,4,"('A0', 'B1')",0.35,0.5816599726676941,0.0536663429363967,2,16
complete,4,"('A0', 'B2')",0.35,0.561272144317627,0.0446359189645682,2,16
complete,4,"('A0', 'B3')",0.35,0.5653091669082642,0.0463580373547307,2,16
complete,4,"('A0', 'B1')",0.27,0.47862508893013,0.0435244277311046,2,17
complete,4,"('A0', 'B2')",0.24,0.4750923812389374,0.0552684277165938,2,17
complete,4,"('A0', 'B3')",0.28,0.4802359640598297,0.0400944413029694,2,17
complete,4,"('A0', 'B1')",0.41,0.4320981204509735,0.0004883269274657,2,18
complete,4,"('A0', 'B2')",0.41,0.4242901504039764,0.0002042083985682,2,18
complete,4,"('A0', 'B3')",0.44,0.4315577745437622,7.127117065394944e-05,2,18
complete,4,"('A0', 'B1')",0.49,0.3787127137184143,0.0123848600879196,2,19
complete,4,"('A0', 'B2')",0.51,0.3742246031761169,0.0184349583826829,2,19
complete,4,"('A0', 'B3')",0.5,0.3777390718460083,0.0149477345530755,2,19
complete,4,"('A0', 'B1')",0.58,0.4285779595375061,0.0229286343378251,2,20
complete,4,"('A0', 'B2')",0.58,0.4263763427734375,0.0236002280596643,2,20
complete,4,"('A0', 'B3')",0.58,0.4333861768245697,0.0214956131461163,2,20
complete,4,"('A0', 'B1')",0.68,0.6864314675331116,4.136377462946762e-05,2,21
complete,4,"('A0', 'B2')",0.7,0.6605649590492249,0.0015551224547893,2,21
complete,4,"('A0', 'B3')",0.7,0.6832510232925415,0.0002805282207469,2,21
complete,4,"('A0', 'B1')",0.67,0.6775903105735779,5.761281460336757e-05,2,22
complete,4,"('A0', 'B2')",0.72,0.6784287691116333,0.0017281672375738,2,22
complete,4,"('A0', 'B3')",0.68,0.6515648365020752,0.0008085585231537,2,22
complete,4,"('A0', 'B1')",0.45,0.5667422413825989,0.0136287509230329,2,23
complete,4,"('A0', 'B2')",0.47,0.555782675743103,0.0073586674576463,2,23
complete,4,"('A0', 'B3')",0.45,0.5772314667701721,0.0161878461364894,2,23
complete,4,"('A0', 'B1')",0.65,0.5789848566055298,0.0050431505913371,2,24
complete,4,"('A0', 'B2')",0.65,0.5649760365486145,0.0072290743609825,2,24
complete,4,"('A0', 'B3')",0.64,0.5750495791435242,0.0042185571694333,2,24
complete,4,"('A0', 'B1')",0.41,0.3937828838825226,0.0002629948551677,2,25
complete,4,"('A0', 'B2')",0.42,0.3829176127910614,0.0013751034411136,2,25
complete,4,"('A0', 'B3')",0.42,0.392169713973999,0.000774524820289,2,25
complete,4,"('A0', 'B1')",0.41,0.5001320838928223,0.0081237925468627,2,26
complete,4,"('A0', 'B2')",0.42,0.5041182637214661,0.0070758822915141,2,26
complete,4,"('A0', 'B3')",0.43,0.5003741979598999,0.0049525277384991,2,26
complete,4,"('A0', 'B1')",0.35,0.4205235838890075,0.0049735758845498,2,27
complete,4,"('A0', 'B2')",0.34,0.4107421934604645,0.0050044579355977,2,27
complete,4,"('A0', 'B3')",0.33,0.4064310193061828,0.005841700712182,2,27
complete,4,"('A0', 'B1')",0.56,0.4093208909034729,0.0227041939181231,2,28
complete,4,"('A0', 'B2')",0.37,0.3992401659488678,0.0008549873047173,2,28
complete,4,"('A0', 'B3')",0.43,0.4082618951797485,0.0004725452011762,2,28
complete,4,"('A0', 'B1')",0.54,0.6634886264801025,0.0152494408699422,2,29
complete,4,"('A0', 'B2')",0.45,0.6378530859947205,0.0352887819177398,2,29
complete,4,"('A0', 'B3')",0.5,0.678075909614563,0.031711029585054,2,29
complete,4,"('A0', 'B1')",0.75,0.5886731147766113,0.0260263638958804,2,30
complete,4,"('A0', 'B2')",0.76,0.5867776274681091,0.0300059903455771,2,30
complete,4,"('A0', 'B3')",0.76,0.5819031000137329,0.0317185057847184,2,30
complete,4,"('A0', 'B1')",0.52,0.5245733261108398,2.0915311716089327e-05,2,31
complete,4,"('A0', 'B2')",0.4,0.5164389610290527,0.0135580316455252,2,31
complete,4,"('A0', 'B3')",0.49,0.5068683624267578,0.0002845416509604,2,31
complete,4,"('A0', 'B1')",0.76,0.5962755084037781,0.0268057091484413,2,32
complete,4,"('A0', 'B2')",0.79,0.5780009627342224,0.0449435918016165,2,32
complete,4,"('A0', 'B3')",0.77,0.5852949619293213,0.0341159510886908,2,32
complete,4,"('A0', 'B1')",0.57,0.5870576500892639,0.0002909634265677,2,33
complete,4,"('A0', 'B2')",0.56,0.5745954513549805,0.0002130272002555,2,33
complete,4,"('A0', 'B3')",0.57,0.5847480297088623,0.0002175043802934,2,33
complete,4,"('A0', 'B1')",0.36,0.3480854332447052,0.0001419569009663,2,34
complete,4,"('A0', 'B2')",0.37,0.336033433675766,0.0011537276278585,2,34
complete,4,"('A0', 'B3')",0.37,0.3450324833393097,0.0006233768882018,2,34
complete,4,"('A0', 'B1')",0.46,0.5251755118370056,0.0042478473432156,2,35
complete,4,"('A0', 'B2')",0.44,0.5024559497833252,0.0039007456633372,2,35
complete,4,"('A0', 'B3')",0.46,0.5139495134353638,0.0029105499999124,2,35
complete,4,"('A0', 'B1')",0.58,0.5784338116645813,2.452945902001477e-06,2,36
complete,4,"('A0', 'B2')",0.55,0.5733658671379089,0.0005459637471064,2,36
complete,4,"('A0', 'B3')",0.58,0.5774479508399963,6.512954915075193e-06,2,36
